#{"t_start": 1767536077.5276003, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9525,19,230.455864
0.955,18,230.477957
0.93,28,230.510786
0.9525,19,230.532825
0.935,26,230.563986
0.955,18,230.585062
0.975,10,230.597605
0.9375,25,230.628472
0.94,24,230.657088
0.955,18,230.678895
0.9475,21,230.707755
0.9475,21,230.734329
0.9475,21,230.764055
0.955,18,230.7858
0.9425,23,230.812892
0.945,22,230.839679
0.9575,17,230.859092
0.96,16,230.883651
0.9775,9,230.894761
0.9575,17,230.91503
0.96,16,232.993968
0.9675,13,233.010476
0.965,14,233.029573
0.97,12,233.047115
0.95,20,233.073131
0.9625,15,233.093804
0.9625,15,233.114705
0.9425,23,233.145574
0.97,12,233.163733
0.9725,11,233.180867
0.97,12,233.195888
0.9525,19,233.219728
0.9525,19,233.245822
0.9575,17,233.271886
0.9225,31,233.316235
0.95,20,233.348618
0.9725,11,233.36877
0.9625,15,233.397715
0.97,12,233.41885
0.9475,21,233.444927
0.9625,15,233.463067
0.9475,21,233.491778
0.9675,13,233.512844
0.955,18,233.540951
0.97,12,233.560019
0.97,12,233.578929
0.9475,21,233.603484
0.9675,13,233.619685
0.975,10,233.634873
0.9625,15,233.659575
0.9625,15,233.677681
0.965,14,233.694711
0.9575,17,233.715298
0.9475,21,233.740915
0.9575,17,233.767043
0.96,16,233.78874
0.945,22,233.815849
0.97,12,233.831071
0.9625,15,233.848655
0.96,16,233.869043
0.955,18,233.889858
0.9675,13,233.907419
0.95,20,233.931055
0.965,14,233.948301
0.905,38,233.992955
0.955,18,234.014568
0.9325,27,234.055785
0.945,22,234.090874
0.94,24,234.118901
0.9525,19,234.14245
0.97,12,234.155221
0.9625,15,234.173988
0.9475,21,234.198833
0.97,12,234.212503
0.975,10,234.224525
0.9475,21,234.249802
0.95,20,234.28691
0.9625,15,234.311502
0.96,16,234.340633
0.965,14,234.358708
0.97,12,234.384034
0.955,18,234.418746
0.9375,25,234.449839
0.955,18,234.480991
0.9375,25,234.515729
0.96,16,234.536098
0.965,14,234.554663
0.965,14,234.572756
0.9475,21,234.609711
0.9575,17,234.640028
0.9675,13,234.660182
0.9525,19,234.688944
0.9575,17,234.722572
0.9525,19,234.748702
0.9575,17,234.777321
0.9625,15,234.801154
