#{"t_start": 1767536782.4364533, "env_id": "MiniGrid-DoorKey-6x6-v0"}
r,l,t
0.9625,15,281.415525
0.965,14,281.43658
0.975,10,281.449739
0.925,30,281.49407
0.935,26,281.531383
0.945,22,281.564095
0.945,22,281.595156
0.9625,15,281.616714
0.9625,15,281.638457
0.96,16,281.660015
0.9025,39,281.72415
0.97,12,281.743336
0.955,18,281.769945
0.9625,15,281.791986
0.955,18,281.818173
0.945,22,281.851238
0.9725,11,281.869806
0.975,10,281.883846
0.9675,13,281.904003
0.9725,11,281.918909
0.965,14,281.941103
0.955,18,281.970027
0.94,24,282.003117
0.9525,19,282.031701
0.9525,19,282.062155
0.945,22,282.093338
0.9475,21,282.123946
0.93,28,282.165033
0.9225,31,282.213129
0.96,16,282.237952
0.9675,13,282.256863
0.955,18,282.285588
0.9425,23,282.319578
0.97,12,282.337298
0.9625,15,282.358886
0.9675,13,282.376755
0.965,14,282.398026
0.9525,19,282.427116
0.9675,13,282.446166
0.965,14,282.467957
0.965,14,282.489532
0.92,32,282.538737
0.94,24,282.574455
0.97,12,282.591155
0.9575,17,282.614196
0.9475,21,282.642832
0.955,18,282.669522
0.94,24,282.702745
0.9625,15,282.727444
0.97,12,285.146848
0.945,22,285.178971
0.955,18,285.209801
0.9275,29,285.254525
0.96,16,285.280801
0.975,10,285.295837
0.9675,13,285.315952
0.96,16,285.339571
0.9275,29,285.389715
0.96,16,285.417271
0.9225,31,285.472119
0.955,18,285.499174
0.965,14,285.519744
0.9525,19,285.546866
0.965,14,285.569338
0.955,18,285.601039
0.965,14,285.623591
0.9525,19,285.650673
0.94,24,285.683784
0.965,14,285.706904
0.95,20,285.736494
0.97,12,285.753548
0.95,20,285.782627
0.9625,15,285.80262
0.94,24,285.835207
0.935,26,285.872725
0.9525,19,285.899184
0.9425,23,285.931651
0.9175,33,285.984961
0.895,42,286.060895
0.975,10,286.07892
0.9525,19,286.110579
0.9375,25,286.155077
0.9175,33,286.215991
0.955,18,286.24862
0.955,18,286.280054
0.9375,25,286.326003
0.91,36,286.389776
0.9175,33,286.466987
0.96,16,286.499088
0.9525,19,286.535908
0.9575,17,286.566705
0.9575,17,286.601966
0.9625,15,286.628915
0.97,12,286.648983
0.9575,17,286.680851
0.955,18,286.71178
0.9675,13,286.735963
0.955,18,286.769087
0.96,16,286.795665
0.955,18,286.828922
0.97,12,286.851149
0.925,30,286.903825
0.955,18,286.935903
0.925,30,286.989398
0.97,12,287.01073
0.9675,13,287.032111
0.94,24,287.073864
0.95,20,287.105808
0.9675,13,287.128398
0.97,12,287.14737
0.96,16,287.174455
0.965,14,287.198144
0.9625,15,287.22361
0.965,14,287.248116
0.9575,17,287.277949
0.965,14,287.302873
0.9675,13,287.32588
0.935,26,287.371849
0.955,18,287.402008
0.965,14,287.425088
0.945,22,287.463979
0.965,14,287.489056
0.925,30,287.543577
0.9575,17,287.573913
0.9625,15,287.59901
0.96,16,287.627166
0.965,14,287.656583
0.935,26,287.707371
0.96,16,287.735391
0.9425,23,287.776154
0.9575,17,287.810825
0.965,14,287.836951
0.945,22,287.876589
0.975,10,287.89533
0.96,16,287.923009
0.965,14,287.948532
0.94,24,287.994004
0.9375,25,288.03466
0.93,28,288.084017
0.965,14,288.108856
0.965,14,288.13504
0.965,14,288.161289
0.9675,13,288.183727
0.975,10,288.200784
0.9525,19,288.233921
0.9525,19,288.264978
0.95,20,288.299954
0.9325,27,288.343961
0.945,22,288.381256
0.9625,15,288.409861
0.9425,23,288.447986
0.9575,17,288.47647
0.9625,15,288.503256
0.955,18,288.534894
0.9475,21,288.568366
